Stock Code,ISIN CODE,Company Name,Industry Classification,Share Type,Weighting (%)
700,KYG875721634,TENCENT,Information Technology,Other HK-listed Mainland Co.,8
5,GB0005405286,HSBC HOLDINGS,Financials,HK Ordinary,7.71
3690,KYG596691041,MEITUAN-W,Information Technology,Other HK-listed Mainland Co.,7.62
1299,HK0000069689,AIA,Financials,HK Ordinary,7.53
9988,KYG017191142,BABA-SW,Information Technology,Other HK-listed Mainland Co.,7.13
939,CNE1000002H1,CCB,Financials,H Share,4.63
388,HK0388045442,HKEX,Financials,HK Ordinary,4.35
2318,CNE1000003X6,PING AN,Financials,H Share,2.82
2269,KYG970081173,WUXI BIO,Healthcare,HK Ordinary,2.64
1810,KYG9830T1067,XIAOMI-W,Information Technology,Other HK-listed Mainland Co.,2.63
1398,CNE1000003G1,ICBC,Financials,H Share,2.57
941,HK0941009539,CHINA MOBILE,Telecommunications,Red Chip,2.28
3968,CNE1000002M1,CM BANK,Financials,H Share,1.87
669,HK0669013440,TECHTRONIC IND,Consumer Discretionary,HK Ordinary,1.8
1211,CNE100000296,BYD COMPANY,Consumer Discretionary,H Share,1.77
3988,CNE1000001Z5,BANK OF CHINA,Financials,H Share,1.77
2331,KYG5496K1242,LI NING,Consumer Discretionary,Other HK-listed Mainland Co.,1.52
2382,KYG8586D1097,SUNNY OPTICAL,Industrials,Other HK-listed Mainland Co.,1.39
9618,KYG8208B1014,JD-SW,Information Technology,Other HK-listed Mainland Co.,1.34
2,HK0002007356,CLP HOLDINGS,Utilities,HK Ordinary,1.26
823,HK0823032773,LINK REIT,Properties & Construction,HK Ordinary,1.14
883,HK0883013259,CNOOC,Energy,Red Chip,1.14
3,HK0003000038,HK & CHINA GAS,Utilities,HK Ordinary,1.08
1,KYG217651051,CKH HOLDINGS,Conglomerates,HK Ordinary,1.07
2313,KYG8087W1015,SHENZHOU INTL,Consumer Discretionary,Other HK-listed Mainland Co.,1.07
2020,KYG040111059,ANTA SPORTS,Consumer Discretionary,Other HK-listed Mainland Co.,1
175,KYG3777B1032,GEELY AUTO,Consumer Discretionary,Other HK-listed Mainland Co.,0.99
16,HK0016000132,SHK PPT,Properties & Construction,HK Ordinary,0.98
2319,KYG210961051,MENGNIU DAIRY,Consumer Staples,Red Chip,0.97
2688,KYG3066L1014,ENN ENERGY,Utilities,Other HK-listed Mainland Co.,0.92
11,HK0011000095,HANG SENG BANK,Financials,HK Ordinary,0.86
1109,KYG2108Y1052,CHINA RES LAND,Properties & Construction,Red Chip,0.83
291,HK0291001490,CHINA RES BEER,Consumer Staples,Red Chip,0.82
1113,KYG2177B1014,CK ASSET,Properties & Construction,HK Ordinary,0.78
2628,CNE1000002L3,CHINA LIFE,Financials,H Share,0.76
2388,HK2388011192,BOC HONG KONG,Financials,HK Ordinary,0.75
27,HK0027032686,GALAXY ENT,Consumer Discretionary,HK Ordinary,0.7
386,CNE1000002Q2,SINOPEC CORP,Energy,H Share,0.7
6098,KYG2453A1085,CG SERVICES,Properties & Construction,Other HK-listed Mainland Co,0.65
9999,KYG6427A1022,NTES-S,Information Technology,Other HK-listed Mainland Co.,0.64
66,HK0066009694,MTR CORPORATION,Consumer Discretionary,HK Ordinary,0.62
1093,HK1093012172,CSPC PHARMA,Healthcare,Other HK-listed Mainland Co.,0.6
857,CNE1000003W8,PETROCHINA,Energy,H Share,0.58
1997,KYG9593A1040,WHARF REIC,Properties & Construction,HK Ordinary,0.57
688,HK0688002218,CHINA OVERSEAS,Properties & Construction,Red Chip,0.56
6,HK0006000050,POWER ASSETS,Utilities,HK Ordinary,0.53
960,KYG5635P1090,LONGFOR GROUP,Properties & Construction,Other HK-listed Mainland Co,0.53
968,KYG9829N1025,XINYI SOLAR,Industrials,Other HK-listed Mainland Co,0.51
1177,KYG8167W1380,SINO BIOPHARM,Healthcare,Other HK-listed Mainland Co,0.49
267,HK0267001375,CITIC,Conglomerates,Red Chip,0.44
