code,date,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
HK.01093,2012-01-26,0.2247921,0.240417,0.2508336,0.2143755,3.867,0.00171,5018880,4973620.0,12.147610151346584,0.2143755
HK.01093,2012-01-27,0.2352087,0.2612502,0.2612502,0.2352087,3.948,0.00123,3605760,3609640.0,8.66544379141242,0.240417
HK.01093,2012-01-30,0.2612502,0.2352087,0.2612502,0.2195838,3.846,0.00134,3928320,3865460.0,-9.968030646483712,0.2612502
HK.01093,2012-01-31,0.2300004,0.2247921,0.2352087,0.2195838,3.806,0.00097,2807040,2740780.0,-4.428662715282215,0.2352087
HK.01093,2012-02-01,0.2352087,0.2300004,0.2352087,0.2195838,3.826,0.00094,2753280,2695820.0,2.316940853348493,0.2247921
HK.01093,2012-02-02,0.2352087,0.2612502,0.2612502,0.2352087,3.948,0.00187,5506560,5512020.0,13.586845935920108,0.2300004
HK.01093,2012-02-03,0.2612502,0.3237498,0.3289581,0.2612502,4.192,0.00573,16840427,17608940.0,23.923273551560914,0.2612502
HK.01093,2012-02-06,0.344583,0.3497913,0.396666,0.3393747,4.294,0.01043,30631904,34052216.0,8.043711532794786,0.3237498
HK.01093,2012-02-07,0.3654162,0.344583,0.3654162,0.3081249,4.274,0.00278,8176512,8867384.0,-1.4889735679532494,0.3497913
HK.01093,2012-02-08,0.3497913,0.4122909,0.4122909,0.3497913,4.538,0.00516,15141120,17260640.0,19.649228197560547,0.344583
HK.01093,2012-02-09,0.4070826,0.4227075,0.4383324,0.3758328,4.559,0.00724,21258240,24825560.0,2.526517078111595,0.4122909
HK.01093,2012-02-10,0.4435407,0.3862494,0.4435407,0.3758328,4.437,0.00281,8242560,9463510.0,-8.624900196944694,0.4227075
HK.01093,2012-02-13,0.3758328,0.3706245,0.4122909,0.344583,4.375,0.00344,10114560,11382730.0,-4.04528783734033,0.3862494
HK.01093,2012-02-14,0.3654162,0.3602079,0.3810411,0.3602079,4.335,0.00171,5022720,5610980.0,-2.810553538689428,0.3706245
