code,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
HK.01876,2019-09-30 00:00:00,26.9765,27.7765,28.4765,26.8265,49.823,0.01978,261975591,7332012560.0,4.515267247380201,26.5765
HK.01876,2019-10-02 00:00:00,27.7765,29.2765,29.3765,27.5765,52.473,0.00741,98097465,2865871761.0,5.400248411426926,27.7765
HK.01876,2019-10-03 00:00:00,29.0765,29.1765,29.6265,28.6265,52.296,0.00424,56170457,1667721090.0,-0.34157088449779816,29.2765
HK.01876,2019-10-04 00:00:00,29.2265,30.0765,30.3765,28.8765,53.886,0.00302,39929505,1208196330.0,3.084674309804118,29.1765
HK.01876,2019-10-08 00:00:00,29.8765,31.1765,31.6765,29.6265,55.83,0.00619,81922852,2586041564.0,3.657340448522938,30.0765
HK.01876,2019-10-09 00:00:00,30.9265,32.0765,32.2265,30.8265,57.42,0.00207,27387084,878928092.0,2.886789729443658,31.1765
HK.01876,2019-10-10 00:00:00,32.0765,31.0765,32.2265,30.9265,55.653,0.00213,28226926,901315138.0,-3.11754711393077,32.0765
HK.01876,2019-10-11 00:00:00,31.3265,30.8265,31.5765,30.2765,55.212,0.00158,20950729,654495296.0,-0.804466397438579,31.0765
HK.01876,2019-10-14 00:00:00,31.1265,31.6265,31.9765,30.9765,56.625,0.00176,23357374,744060901.0,2.5951697403208303,30.8265
HK.01876,2019-10-15 00:00:00,31.6765,31.5765,32.0765,31.0765,56.537,0.00816,108049063,3456500603.0,-0.15809526820862477,31.6265
HK.01876,2019-10-16 00:00:00,31.5265,30.3765,31.5265,30.3765,54.416,0.00218,28864067,910145721.0,-3.8002945228255167,31.5765
HK.01876,2019-10-17 00:00:00,31.0765,30.9765,31.0765,30.2765,55.477,0.00096,12671930,395456107.0,1.9752111006863904,30.3765
HK.01876,2019-10-18 00:00:00,30.8765,29.7265,30.9765,29.4265,53.268,0.00144,19036631,576797081.0,-4.035317095217342,30.9765
HK.01876,2019-10-21 00:00:00,30.0765,31.0265,31.3265,30.0265,55.565,0.00134,17809514,556916784.0,4.373202361529265,29.7265
HK.01876,2019-10-22 00:00:00,31.5765,31.0265,31.5765,30.6265,55.565,0.00091,12026936,378158016.0,0.0,31.0265
HK.01876,2019-10-23 00:00:00,30.7765,30.6265,31.0265,30.2765,54.858,0.00068,8985202,279157131.0,-1.2892205050521284,31.0265
HK.01876,2019-10-24 00:00:00,30.7265,30.0765,31.0265,29.7265,53.886,0.00135,17880204,547561015.0,-1.7958304083065344,30.6265
HK.01876,2019-10-25 00:00:00,28.4765,29.2765,29.6765,27.7265,52.473,0.00338,44762051,1310391826.0,-2.6598839625621356,30.0765
HK.01876,2019-10-28 00:00:00,29.2765,28.0765,29.2765,27.9265,50.353,0.0016,21216438,608635377.0,-4.098850613973663,29.2765
HK.01876,2019-10-29 00:00:00,28.0765,27.3765,28.2765,27.0265,49.116,0.00194,25749692,719121911.0,-2.493188253521626,28.0765
HK.01876,2019-10-30 00:00:00,27.2765,28.2265,28.2265,27.2765,50.618,0.00427,56561860,1586743105.0,3.104852702135048,27.3765
HK.01876,2019-10-31 00:00:00,28.3765,28.2265,28.3765,27.7765,50.618,0.00086,11446335,326191623.0,0.0,28.2265
HK.01876,2019-11-01 00:00:00,28.0265,28.4265,28.4765,28.0265,50.971,0.00059,7803379,224151306.0,0.7085540183869742,28.2265
HK.01876,2019-11-04 00:00:00,28.4265,28.8765,29.2265,28.3265,51.766,0.00102,13506850,395609569.0,1.5830299192654713,28.4265
HK.01876,2019-11-05 00:00:00,29.1265,28.9265,29.1765,28.7265,51.855,0.00093,12266024,359784465.0,0.17315117829377075,28.8765
HK.01876,2019-11-06 00:00:00,28.8765,28.8265,28.9765,28.6265,51.678,0.00047,6210270,181502978.0,-0.34570376644254025,28.9265
HK.01876,2019-11-07 00:00:00,28.8765,28.8765,28.9265,28.6765,51.766,0.00043,5662131,165637251.0,0.17345151162992634,28.8265
HK.01876,2019-11-08 00:00:00,29.0265,28.1265,29.0265,28.0765,50.441,0.00058,7645565,220138946.0,-2.5972676744065244,28.8765
HK.01876,2019-11-11 00:00:00,27.9765,27.7765,27.9765,27.5765,49.823,0.00072,9592462,270285167.0,-1.2443780776136435,28.1265
HK.01876,2019-11-12 00:00:00,27.9265,28.3265,28.3765,27.7765,50.795,0.00047,6227164,177648825.0,1.9800910841898753,27.7765
HK.01876,2019-11-13 00:00:00,28.3265,28.1765,28.3765,27.9265,50.53,0.00042,5612165,160373625.0,-0.5295394771680179,28.3265
HK.01876,2019-11-14 00:00:00,28.0765,28.0765,28.4265,27.8765,50.353,0.00041,5427000,155075517.0,-0.3549056838145313,28.1765
HK.01876,2019-11-15 00:00:00,28.3765,29.2265,29.7265,28.1765,52.385,0.00093,12303100,362660782.0,4.09595213078554,28.0765
HK.01876,2019-11-18 00:00:00,29.2765,28.9265,29.6765,28.8265,51.855,0.00068,9025610,266762440.0,-1.0264657074914914,29.2265
HK.01876,2019-11-19 00:00:00,28.8765,29.2265,29.2265,28.5765,52.385,0.00032,4285796,126267437.0,1.0371112993276086,28.9265
HK.01876,2019-11-20 00:00:00,29.0765,28.8765,29.0765,28.5765,51.766,0.00058,7646008,223642418.0,-1.1975433254067418,29.2265
HK.01876,2019-11-21 00:00:00,28.8765,28.7765,28.9265,28.3765,51.59,0.00037,4865884,141633977.0,-0.3463023565875415,28.8765
HK.01876,2019-11-22 00:00:00,28.7765,28.8765,28.9265,28.6265,51.766,0.00028,3750412,109695506.0,0.3475057772835523,28.7765
HK.01876,2019-11-25 00:00:00,28.9265,28.5765,29.0765,28.5265,51.236,0.00078,10356500,302365686.0,-1.0389070697626122,28.8765
HK.01876,2019-11-26 00:00:00,28.6765,28.6765,28.9265,28.2765,51.413,0.00123,16307813,473056925.0,0.3499378860252355,28.5765
HK.01876,2019-11-27 00:00:00,28.5765,28.1765,28.8265,28.0265,50.53,0.00043,5682561,163071812.0,-1.7435879552944047,28.6765
HK.01876,2019-11-28 00:00:00,28.3265,27.8265,28.3265,27.5765,49.911,0.00064,8536819,241735170.0,-1.242169893350847,28.1765
HK.01876,2019-11-29 00:00:00,27.7765,27.4765,27.8765,27.4765,49.293,0.00055,7326880,206177571.0,-1.257793829622834,27.8265
HK.01876,2019-12-02 00:00:00,28.0265,27.7765,28.1265,27.5765,49.823,0.00044,5794384,163694734.0,1.0918421196294912,27.4765
HK.01876,2019-12-03 00:00:00,28.1765,28.3265,28.3265,27.7265,50.795,0.00021,2743931,78418037.0,1.9800910841898753,27.7765
HK.01876,2019-12-04 00:00:00,28.0765,27.7765,28.3765,27.7265,49.823,0.00017,2253059,64057525.0,-1.9416447496160867,28.3265
HK.01876,2019-12-05 00:00:00,28.0765,27.8265,28.2265,27.7765,49.911,0.00012,1551951,43925352.0,0.18000828038090008,27.7765
HK.01876,2019-12-06 00:00:00,28.1265,28.4765,28.4765,28.0265,51.06,0.00032,4226437,121370710.0,2.3359028264424277,27.8265
HK.01876,2019-12-09 00:00:00,28.6765,28.3265,28.6765,28.2265,50.795,0.00016,2142281,61662992.0,-0.5267501272979549,28.4765
HK.01876,2019-12-10 00:00:00,28.2765,28.0765,28.3265,27.9765,50.353,0.00016,2074831,59143102.0,-0.8825657952800381,28.3265
HK.01876,2019-12-11 00:00:00,28.2265,27.9765,28.2265,27.7765,50.176,0.00021,2769417,78446694.0,-0.3561697505030822,28.0765
HK.01876,2019-12-12 00:00:00,28.0265,27.5765,28.0265,27.5765,49.469,0.00031,4121841,115869077.0,-1.4297714152949872,27.9765
HK.01876,2019-12-13 00:00:00,27.8765,27.5765,27.9765,27.5265,49.469,0.00053,6973732,195285752.0,0.0,27.5765
HK.01876,2019-12-16 00:00:00,27.5765,27.2765,27.7265,27.0765,48.939,0.00059,7848077,217471999.0,-1.087882798759816,27.5765
HK.01876,2019-12-17 00:00:00,27.4765,27.5765,27.6265,26.7265,49.469,0.00078,10345885,285708701.0,1.0998478543801469,27.2765
HK.01876,2019-12-18 00:00:00,27.6265,27.1265,27.7265,27.0765,48.674,0.00043,5665618,156819912.0,-1.631824198139718,27.5765
HK.01876,2019-12-19 00:00:00,27.3265,27.5765,27.7265,27.2265,49.469,0.00046,6101233,170331175.0,1.6588944390171945,27.1265
HK.01876,2019-12-20 00:00:00,27.4765,27.2265,27.6765,27.2265,48.851,0.00047,6289837,174371225.0,-1.2691965985531082,27.5765
HK.01876,2019-12-23 00:00:00,27.2765,27.2265,27.3265,27.0765,48.851,0.00017,2237356,61828036.0,0.0,27.2265
HK.01876,2019-12-24 00:00:00,27.3265,26.9765,27.3765,26.9265,48.409,0.00013,1662960,45699397.0,-0.9182230547444584,27.2265
HK.01876,2019-12-27 00:00:00,27.0765,27.0765,27.3265,27.0765,48.586,0.00028,3721054,102628783.0,0.3706930105832775,26.9765
HK.01876,2019-12-30 00:00:00,27.0765,26.9265,27.0765,26.8265,48.321,0.00037,4920700,134592325.0,-0.5539859287574043,27.0765
HK.01876,2019-12-31 00:00:00,26.9765,25.8765,27.1765,25.8765,46.466,0.00073,9613698,256766654.0,-3.8995042058938245,26.9265
HK.01876,2020-01-02 00:00:00,25.8765,26.0765,26.4265,25.7265,46.819,0.00074,9841900,261437242.0,0.7729020539872057,25.8765
HK.01876,2020-01-03 00:00:00,26.2765,26.3765,26.5265,25.9765,47.349,0.00063,8397400,224077598.0,1.1504611431748921,26.0765
HK.01876,2020-01-06 00:00:00,26.1265,25.8765,26.2265,25.6765,46.466,0.00055,7314019,192536709.0,-1.895626788997782,26.3765
HK.01876,2020-01-07 00:00:00,26.0265,26.2265,26.4265,25.8765,47.084,0.00052,6845818,182375925.0,1.3525785944776203,25.8765
HK.01876,2020-01-08 00:00:00,25.9265,25.9265,26.2765,25.8765,46.554,0.00022,2969182,78515754.0,-1.1438811888738516,26.2265
HK.01876,2020-01-09 00:00:00,26.2265,25.8765,26.2265,25.7765,46.466,0.00042,5615108,147755969.0,-0.19285287254353925,25.9265
HK.01876,2020-01-10 00:00:00,26.0265,25.1265,26.0765,25.0765,45.141,0.00113,14936051,386748953.0,-2.8983827024520314,25.8765
HK.01876,2020-01-13 00:00:00,25.0765,24.1765,25.0765,23.9765,43.462,0.00231,30641310,756045088.0,-3.7808688038525036,25.1265
HK.01876,2020-01-14 00:00:00,24.3765,25.7765,25.7765,24.2765,46.289,0.00351,46473246,1179499842.0,6.617996815089024,24.1765
HK.01876,2020-01-15 00:00:00,25.8765,25.6765,26.4765,25.3765,46.113,0.00096,12649693,333148315.0,-0.38795026477604744,25.7765
HK.01876,2020-01-16 00:00:00,25.6765,25.2265,25.7265,24.9265,45.318,0.00078,10332279,265878778.0,-1.752575312055768,25.6765
