code,lot_size,stock_name,stock_owner,stock_child_type,stock_type,list_time,stock_id,main_contract,last_trade_time
HK.00001,500,长和,,,STOCK,2015-03-18,4440996184065,False,
HK.00002,500,中电控股,,,STOCK,1970-01-01,2,False,
HK.00003,1000,香港中华煤气,,,STOCK,1970-01-01,3,False,
HK.00005,400,汇丰控股,,,STOCK,1970-01-01,5,False,
HK.00006,500,电能实业,,,STOCK,1976-08-16,6,False,
HK.00011,100,恒生银行,,,STOCK,1972-06-20,3865470566411,False,
HK.00012,1000,恒基地产,,,STOCK,1981-07-23,18124761989132,False,
HK.00016,500,新鸿基地产,,,STOCK,1972-09-08,4209067950096,False,
HK.00017,1000,新世界发展,,,STOCK,1972-11-23,4535485464593,False,
HK.00027,1000,银河娱乐,,,STOCK,1991-10-07,34136400068635,False,
HK.00066,500,港铁公司,,,STOCK,2000-10-05,48249662603330,False,
HK.00101,1000,恒隆地产,,,STOCK,1970-01-01,101,False,
HK.00175,1000,吉利汽车,,,STOCK,1973-02-23,4930622455983,False,
HK.00241,2000,阿里健康,,,STOCK,1972-07-06,3934190043377,False,
HK.00267,1000,中信股份,,,STOCK,1986-02-26,25336012079371,False,
HK.00288,500,万洲国际,,,STOCK,2014-08-05,69947837382944,False,
HK.00291,2000,华润啤酒,,,STOCK,1970-01-01,291,False,
HK.00386,2000,中国石油化工股份,,,STOCK,2000-10-19,48309792145794,False,
HK.00388,100,香港交易所,,,STOCK,2000-06-27,47820165874052,False,
HK.00669,500,创科实业,,,STOCK,1990-12-17,32873679684253,False,
HK.00688,500,中国海外发展,,,STOCK,1992-08-20,35502199669424,False,
HK.00700,100,腾讯控股,,,STOCK,2004-06-16,54047868453564,False,
HK.00762,2000,中国联通,,,STOCK,2000-06-22,47798691037946,False,
HK.00823,100,领展房产基金,,,ETF,2005-11-25,56311316218679,False,
HK.00857,2000,中国石油股份,,,STOCK,2000-04-07,47472273523545,False,
HK.00868,1000,信义玻璃,,,STOCK,2005-02-03,55044300866404,False,
HK.00883,1000,中国海洋石油,,,STOCK,2001-02-28,48876727829363,False,
HK.00939,1000,建设银行,,,STOCK,2005-10-27,56186762167211,False,
HK.00941,500,中国移动,,,STOCK,1997-10-23,43619687859117,False,
HK.00960,500,龙湖集团,,,STOCK,2009-11-19,62560493634496,False,
HK.00968,2000,信义光能,,,STOCK,2013-12-12,68934225101768,False,
HK.01038,500,长江基建集团,,,STOCK,1996-07-17,41631118001166,False,
HK.01044,500,恒安国际,,,STOCK,1998-12-08,45384919417876,False,
HK.01093,2000,石药集团,,,STOCK,1994-06-21,38379827758149,False,
HK.01109,2000,华润置地,,,STOCK,1996-11-08,42120744272981,False,
HK.01113,500,长实集团,,,STOCK,2015-06-03,71244917507161,False,
HK.01177,1000,中国生物制药,,,STOCK,2003-12-08,53227529700505,False,
HK.01211,500,比亚迪股份,,,STOCK,2002-07-31,51101520889019,False,
HK.01299,200,友邦保险,,,STOCK,2010-10-29,64037962384659,False,
HK.01398,1000,工商银行,,,STOCK,2006-10-27,57754425230710,False,
HK.01810,200,小米集团-W,,,STOCK,2018-07-09,76033806042898,False,
HK.01876,100,百威亚太,,,STOCK,2019-09-30,77644418778964,False,
HK.01928,400,金沙中国有限公司,,,STOCK,2009-11-30,62607738275720,False,
HK.01997,1000,九龙仓置业,,,STOCK,2017-11-23,75067438401485,False,
HK.02007,1000,碧桂园,,,STOCK,2007-04-20,58506044508119,False,
HK.02018,500,瑞声科技,,,STOCK,2005-08-09,55847459751906,False,
HK.02020,200,安踏体育,,,STOCK,2007-07-10,58853936859108,False,
HK.02269,500,药明生物,,,STOCK,2017-06-13,74371653699805,False,
HK.02313,100,申洲国际,,,STOCK,2005-11-24,56307021252873,False,
HK.02318,500,中国平安,,,STOCK,2004-06-24,54082228193550,False,
HK.02319,1000,蒙牛乳业,,,STOCK,2004-06-10,54022098651407,False,
HK.02331,500,李宁,,,STOCK,2004-06-28,54099408062747,False,
HK.02382,100,舜宇光学科技,,,STOCK,2007-06-15,58746562677070,False,
HK.02388,500,中银香港,,,STOCK,2002-07-25,51075751086420,False,
HK.02628,1000,中国人寿,,,STOCK,2003-12-18,53270479374916,False,
HK.02688,100,新奥能源,,,STOCK,2002-06-03,50852412787328,False,
HK.03690,100,美团-W,,,STOCK,2018-09-20,76364518526570,False,
HK.03968,500,招商银行,,,STOCK,2006-09-22,57604101377920,False,
HK.03988,1000,中国银行,,,STOCK,2006-06-01,57118770073492,False,
HK.06098,1000,碧桂园服务,,,STOCK,2018-06-19,75965086570450,False,
HK.06862,1000,海底捞,,,STOCK,2018-09-26,76385993366222,False,
HK.09618,50,京东集团-SW,,,STOCK,2020-06-18,79100412700050,False,
HK.09988,100,阿里巴巴-SW,,,STOCK,2019-11-26,78224239372036,False,
HK.09999,100,网易-S,,,STOCK,2020-06-11,79083232831247,False,
