Stock Code,ISIN CODE,Company Name,Industry Classification,Share Type,Weighting (%),lot_size,stock_name,list_time
HK.00700,KYG875721634,TENCENT,Information Technology,Other HK-listed Mainland Co.,8.0,100,腾讯控股,2004-06-16
HK.00005,GB0005405286,HSBC HOLDINGS,Financials,HK Ordinary,7.71,400,汇丰控股,1970-01-01
HK.01299,HK0000069689,AIA,Financials,HK Ordinary,7.53,200,友邦保险,2010-10-29
HK.00939,CNE1000002H1,CCB,Financials,H Share,4.63,1000,建设银行,2005-10-27
HK.00388,HK0388045442,HKEX,Financials,HK Ordinary,4.35,100,香港交易所,2000-06-27
HK.02318,CNE1000003X6,PING AN,Financials,H Share,2.82,500,中国平安,2004-06-24
HK.01398,CNE1000003G1,ICBC,Financials,H Share,2.57,1000,工商银行,2006-10-27
HK.00941,HK0941009539,CHINA MOBILE,Telecommunications,Red Chip,2.28,500,中国移动,1997-10-23
HK.03968,CNE1000002M1,CM BANK,Financials,H Share,1.87,500,招商银行,2006-09-22
HK.00669,HK0669013440,TECHTRONIC IND,Consumer Discretionary,HK Ordinary,1.8,500,创科实业,1990-12-17
HK.01211,CNE100000296,BYD COMPANY,Consumer Discretionary,H Share,1.77,500,比亚迪股份,2002-07-31
HK.03988,CNE1000001Z5,BANK OF CHINA,Financials,H Share,1.77,1000,中国银行,2006-06-01
HK.02331,KYG5496K1242,LI NING,Consumer Discretionary,Other HK-listed Mainland Co.,1.52,500,李宁,2004-06-28
HK.02382,KYG8586D1097,SUNNY OPTICAL,Industrials,Other HK-listed Mainland Co.,1.39,100,舜宇光学科技,2007-06-15
HK.00002,HK0002007356,CLP HOLDINGS,Utilities,HK Ordinary,1.26,500,中电控股,1970-01-01
HK.00823,HK0823032773,LINK REIT,Properties & Construction,HK Ordinary,1.14,100,领展房产基金,2005-11-25
HK.00883,HK0883013259,CNOOC,Energy,Red Chip,1.14,1000,中国海洋石油,2001-02-28
HK.00003,HK0003000038,HK & CHINA GAS,Utilities,HK Ordinary,1.08,1000,香港中华煤气,1970-01-01
HK.02313,KYG8087W1015,SHENZHOU INTL,Consumer Discretionary,Other HK-listed Mainland Co.,1.07,100,申洲国际,2005-11-24
HK.02020,KYG040111059,ANTA SPORTS,Consumer Discretionary,Other HK-listed Mainland Co.,1.0,200,安踏体育,2007-07-10
HK.00175,KYG3777B1032,GEELY AUTO,Consumer Discretionary,Other HK-listed Mainland Co.,0.99,1000,吉利汽车,1973-02-23
HK.00016,HK0016000132,SHK PPT,Properties & Construction,HK Ordinary,0.98,500,新鸿基地产,1972-09-08
HK.02319,KYG210961051,MENGNIU DAIRY,Consumer Staples,Red Chip,0.97,1000,蒙牛乳业,2004-06-10
HK.02688,KYG3066L1014,ENN ENERGY,Utilities,Other HK-listed Mainland Co.,0.92,100,新奥能源,2002-06-03
HK.00011,HK0011000095,HANG SENG BANK,Financials,HK Ordinary,0.86,100,恒生银行,1972-06-20
HK.01109,KYG2108Y1052,CHINA RES LAND,Properties & Construction,Red Chip,0.83,2000,华润置地,1996-11-08
HK.00291,HK0291001490,CHINA RES BEER,Consumer Staples,Red Chip,0.82,2000,华润啤酒,1970-01-01
HK.02628,CNE1000002L3,CHINA LIFE,Financials,H Share,0.76,1000,中国人寿,2003-12-18
HK.02388,HK2388011192,BOC HONG KONG,Financials,HK Ordinary,0.75,500,中银香港,2002-07-25
HK.00027,HK0027032686,GALAXY ENT,Consumer Discretionary,HK Ordinary,0.7,1000,银河娱乐,1991-10-07
HK.00386,CNE1000002Q2,SINOPEC CORP,Energy,H Share,0.7,2000,中国石油化工股份,2000-10-19
HK.00066,HK0066009694,MTR CORPORATION,Consumer Discretionary,HK Ordinary,0.62,500,港铁公司,2000-10-05
HK.01093,HK1093012172,CSPC PHARMA,Healthcare,Other HK-listed Mainland Co.,0.6,2000,石药集团,1994-06-21
HK.00857,CNE1000003W8,PETROCHINA,Energy,H Share,0.58,2000,中国石油股份,2000-04-07
HK.00688,HK0688002218,CHINA OVERSEAS,Properties & Construction,Red Chip,0.56,500,中国海外发展,1992-08-20
HK.00006,HK0006000050,POWER ASSETS,Utilities,HK Ordinary,0.53,500,电能实业,1976-08-16
HK.00960,KYG5635P1090,LONGFOR GROUP,Properties & Construction,Other HK-listed Mainland Co,0.53,500,龙湖集团,2009-11-19
HK.01177,KYG8167W1380,SINO BIOPHARM,Healthcare,Other HK-listed Mainland Co,0.49,1000,中国生物制药,2003-12-08
HK.00267,HK0267001375,CITIC,Conglomerates,Red Chip,0.44,1000,中信股份,1986-02-26
