time period,performance metrics,mean,median
all time,linear_regression: mean_absolute_error,7.286628649461085,3.2672155110514223
all time,decision_tree: mean_absolute_error,20.04344504416886,5.674391304347826
all time,random_forest: mean_absolute_error,19.668775562309527,4.968980477178425
all time,support_vector_machine_linear: mean_absolute_error,7.154202620997726,3.2607317532361035
all time,support_vector_machine_poly: mean_absolute_error,31.32140174520928,5.016201445431993
all time,support_vector_machine_rbf: mean_absolute_error,30.78324641269396,5.878455566213485
all time,lstm: mean_absolute_error,2.4456310857876304,0.9056729848119426
covid time,linear_regression: mean_absolute_error,7.63020474416468,2.7070854917652216
covid time,decision_tree: mean_absolute_error,11.22787223846154,3.2817754347826087
covid time,random_forest: mean_absolute_error,10.473760775981047,2.7460911304347824
covid time,support_vector_machine_linear: mean_absolute_error,8.07356980616171,2.555574657098646
covid time,support_vector_machine_poly: mean_absolute_error,9.33057268487008,2.7229140339573648
covid time,support_vector_machine_rbf: mean_absolute_error,12.954776932589782,3.202845463866027
covid time,lstm: mean_absolute_error,2.535813598934368,0.934031286699432
pre covid time,linear_regression: mean_absolute_error,4.261601201032306,2.379095302480143
pre covid time,decision_tree: mean_absolute_error,7.250351004341215,4.767376623376623
pre covid time,random_forest: mean_absolute_error,6.69843931384009,4.084425974025974
pre covid time,support_vector_machine_linear: mean_absolute_error,4.355446202974723,2.24328247951841
pre covid time,support_vector_machine_poly: mean_absolute_error,9.537662461474365,3.981423566933743
pre covid time,support_vector_machine_rbf: mean_absolute_error,11.780265905198009,5.081485865010189
pre covid time,lstm: mean_absolute_error,1.293047486116956,0.7380186059740196
pre covid test time,linear_regression: mean_absolute_error,3.92709308716201,2.5196503913078017
pre covid test time,decision_tree: mean_absolute_error,5.790587603465764,3.9447252747252737
pre covid test time,random_forest: mean_absolute_error,5.006538643609468,3.2863856153846145
pre covid test time,support_vector_machine_linear: mean_absolute_error,3.8888330048196735,2.311959311545333
pre covid test time,support_vector_machine_poly: mean_absolute_error,4.026281282256698,2.3679017671302005
pre covid test time,support_vector_machine_rbf: mean_absolute_error,6.727165764381327,3.737652044210256
pre covid test time,lstm: mean_absolute_error,1.355541056121833,0.9496680548166496
