time period,model,portfolio stock input
all_time_results,Linear Regression,"['HK.00700', 'HK.02020', 'HK.00669', 'HK.02313', 'HK.02331']"
all_time_results,Support Vector Machine(linear),"['HK.00700', 'HK.02020', 'HK.01211', 'HK.02313', 'HK.00669']"
all_time_results,LSTM Network,"['HK.01299', 'HK.00016', 'HK.01109', 'HK.00011', 'HK.00006']"
all_time_results,Mean Average,"['HK.00700', 'HK.02020', 'HK.02313', 'HK.00669', 'HK.02331']"
covid_time_results,Linear Regression,"['HK.00700', 'HK.01211', 'HK.02020', 'HK.00388', 'HK.02331']"
covid_time_results,Support Vector Machine(linear),"['HK.01211', 'HK.00388', 'HK.00700', 'HK.02020', 'HK.02331']"
covid_time_results,LSTM Network,"['HK.00388', 'HK.02313', 'HK.02318', 'HK.02020', 'HK.02688']"
covid_time_results,Mean Average,"['HK.01211', 'HK.00700', 'HK.00388', 'HK.02020', 'HK.02331']"
pre_covid_time_results,Linear Regression,"['HK.00291', 'HK.00011', 'HK.02313', 'HK.01093', 'HK.01177']"
pre_covid_time_results,Support Vector Machine(linear),"['HK.02020', 'HK.00291', 'HK.01093', 'HK.00011', 'HK.01177']"
pre_covid_time_results,LSTM Network,"['HK.00700', 'HK.02318', 'HK.00002', 'HK.03968', 'HK.00005']"
pre_covid_time_results,Mean Average,"['HK.00291', 'HK.01093', 'HK.00011', 'HK.02318', 'HK.01177']"
pre_covid_test_time_results,Linear Regression,"['HK.00016', 'HK.00011', 'HK.00388', 'HK.02331', 'HK.01211']"
pre_covid_test_time_results,Support Vector Machine(linear),"['HK.00011', 'HK.01211', 'HK.02331', 'HK.02020', 'HK.02388']"
pre_covid_test_time_results,LSTM Network,"['HK.00011', 'HK.00388', 'HK.01211', 'HK.02020', 'HK.00002']"
pre_covid_test_time_results,Mean Average,"['HK.00011', 'HK.01211', 'HK.02331', 'HK.00388', 'HK.00016']"
